,"('video_name', '')","('diapo', '')",ypredict
96,WIN_20210408_14_00_44_Pro,9,0.0
97,WIN_20210408_14_00_44_Pro,10,0.0
98,WIN_20210408_14_00_44_Pro,11,0.0
99,WIN_20210408_14_00_44_Pro,17,1.0
100,WIN_20210408_14_02_19_Pro,8,1.0
101,WIN_20210408_14_02_19_Pro,9,1.0
102,WIN_20210408_14_02_19_Pro,10,1.0
103,WIN_20210408_14_02_19_Pro,11,1.0
104,WIN_20210408_14_02_19_Pro,17,0.0
105,WIN_20210408_14_11_32_Pro,8,1.0
106,WIN_20210408_14_11_32_Pro,9,1.0
107,WIN_20210408_14_11_32_Pro,10,1.0
108,WIN_20210408_14_11_32_Pro,11,1.0
109,WIN_20210408_14_11_32_Pro,17,1.0
110,WIN_20210408_15_20_51_Pro,8,0.0
111,WIN_20210408_15_20_51_Pro,9,0.0
112,WIN_20210408_15_20_51_Pro,10,1.0
113,WIN_20210408_15_20_51_Pro,11,0.0
114,WIN_20210408_15_20_51_Pro,17,0.0
115,WIN_20210408_16_04_32_Pro,8,1.0
116,WIN_20210408_16_04_32_Pro,9,1.0
117,WIN_20210408_16_04_32_Pro,10,1.0
118,WIN_20210408_16_04_32_Pro,11,0.0
119,WIN_20210408_16_04_32_Pro,17,0.0
120,WIN_20210409_10_26_11_Pro,8,1.0
121,WIN_20210409_10_26_11_Pro,9,0.0
122,WIN_20210409_10_26_11_Pro,10,0.0
123,WIN_20210409_10_26_11_Pro,11,0.0
124,WIN_20210409_10_26_11_Pro,17,1.0
125,WIN_20210413_15_38_01_Pro,8,0.0
126,WIN_20210413_15_38_01_Pro,9,1.0
127,WIN_20210413_15_38_01_Pro,10,1.0
128,WIN_20210413_15_38_01_Pro,11,1.0
129,WIN_20210413_15_38_01_Pro,17,1.0
130,WIN_20210414_06_24_52_Pro,8,0.0
131,WIN_20210414_06_24_52_Pro,9,0.0
132,WIN_20210414_06_24_52_Pro,10,1.0
133,WIN_20210414_06_24_52_Pro,11,0.0
134,WIN_20210414_06_24_52_Pro,17,0.0
135,WIN_20210415_15_41_24_Pro,8,0.0
136,WIN_20210415_15_41_24_Pro,9,0.0
137,WIN_20210415_15_41_24_Pro,10,0.0
138,WIN_20210415_15_41_24_Pro,11,0.0
139,WIN_20210415_15_41_24_Pro,17,0.0
140,WIN_20210416_08_06_54_Pro,8,0.0
141,WIN_20210416_08_06_54_Pro,9,0.0
142,WIN_20210416_08_06_54_Pro,10,1.0
143,WIN_20210416_08_06_54_Pro,11,0.0
144,WIN_20210416_08_06_54_Pro,17,0.0
145,WIN_20210417_14_53_12_Pro,8,1.0
146,WIN_20210417_14_53_12_Pro,9,0.0
147,WIN_20210417_14_53_12_Pro,10,0.0
148,WIN_20210417_14_53_12_Pro,11,0.0
149,WIN_20210417_14_53_12_Pro,17,0.0
